Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,3.980.000.000,3.980.000.000,3.980.000.000,3.980.000.000,3.310.131.592,0
2017-01-03,3.950.000.000,3.990.000.000,3.920.000.000,3.950.000.000,3.285.180.664,71660600
2017-01-04,3.880.000.000,3.980.000.000,3.880.000.000,3.950.000.000,3.285.180.664,68494500
2017-01-05,3.960.000.000,4.030.000.000,3.940.000.000,3.950.000.000,3.285.180.664,74018400
2017-01-06,3.970.000.000,4.010.000.000,3.960.000.000,4.000.000.000,3.326.765.381,44136900
2017-01-09,4.000.000.000,4.030.000.000,3.990.000.000,4.020.000.000,3.343.399.414,85713200
2017-01-10,4.030.000.000,4.030.000.000,3.960.000.000,4.000.000.000,3.326.765.381,44608000
2017-01-11,3.960.000.000,4.000.000.000,3.950.000.000,3.960.000.000,3.293.497.559,47226300
2017-01-12,3.920.000.000,3.970.000.000,3.920.000.000,3.960.000.000,3.293.497.559,45738500
2017-01-13,3.930.000.000,3.970.000.000,3.930.000.000,3.950.000.000,3.285.180.664,64704600
2017-01-16,3.970.000.000,4.000.000.000,3.950.000.000,3.950.000.000,3.285.180.664,42188800
2017-01-17,3.980.000.000,4.000.000.000,3.960.000.000,3.970.000.000,3.301.814.697,45793400
2017-01-18,3.960.000.000,4.010.000.000,3.950.000.000,3.960.000.000,3.293.497.559,56558200
2017-01-19,3.940.000.000,3.980.000.000,3.920.000.000,3.970.000.000,3.301.814.697,53435400
2017-01-20,3.920.000.000,3.940.000.000,3.820.000.000,3.830.000.000,3.185.377.686,101523500
2017-01-23,3.800.000.000,3.880.000.000,3.780.000.000,3.840.000.000,3.193.694.824,77653500
2017-01-24,3.850.000.000,3.950.000.000,3.850.000.000,3.910.000.000,3.251.913.086,113430200
2017-01-25,3.940.000.000,3.940.000.000,3.890.000.000,3.900.000.000,3.243.595.947,47799100
2017-01-26,3.900.000.000,3.960.000.000,3.860.000.000,3.940.000.000,3.276.864.014,60944600
2017-01-27,3.900.000.000,3.920.000.000,3.880.000.000,3.890.000.000,3.235.279.541,47240400
2017-01-30,3.860.000.000,3.910.000.000,3.860.000.000,3.860.000.000,3.210.328.613,30060700
2017-01-31,3.870.000.000,3.920.000.000,3.860.000.000,3.870.000.000,3.218.645.508,57849200
2017-02-01,3.910.000.000,3.980.000.000,3.900.000.000,3.940.000.000,3.276.864.014,77648400
2017-02-02,3.940.000.000,3.980.000.000,3.900.000.000,3.950.000.000,3.285.180.664,73895600
2017-02-03,3.900.000.000,3.970.000.000,3.900.000.000,3.950.000.000,3.285.180.664,59225000
2017-02-06,3.940.000.000,3.960.000.000,3.910.000.000,3.960.000.000,3.293.497.559,52999700
2017-02-07,3.930.000.000,3.960.000.000,3.920.000.000,3.920.000.000,3.260.229.980,66017500
2017-02-08,3.900.000.000,3.920.000.000,3.860.000.000,3.870.000.000,3.218.645.508,115706000
2017-02-09,3.870.000.000,3.910.000.000,3.860.000.000,3.870.000.000,3.218.645.508,78090700
2017-02-10,3.870.000.000,3.910.000.000,3.860.000.000,3.890.000.000,3.235.279.541,91636700
2017-02-13,3.920.000.000,3.920.000.000,3.900.000.000,3.920.000.000,3.260.229.980,54547600
