Date;Open;High;Low;Close;Adj Close;Volume
02/01/2017;3.980.000.000;3.980.000.000;3.980.000.000;3.980.000.000;3.310.131.592;0
03/01/2017;3.950.000.000;3.990.000.000;3.920.000.000;3.950.000.000;3.285.180.664;71660600
04/01/2017;3.880.000.000;3.980.000.000;3.880.000.000;3.950.000.000;3.285.180.664;68494500
05/01/2017;3.960.000.000;4.030.000.000;3.940.000.000;3.950.000.000;3.285.180.664;74018400
06/01/2017;3.970.000.000;4.010.000.000;3.960.000.000;4.000.000.000;3.326.765.381;44136900
09/01/2017;4.000.000.000;4.030.000.000;3.990.000.000;4.020.000.000;3.343.399.414;85713200
10/01/2017;4.030.000.000;4.030.000.000;3.960.000.000;4.000.000.000;3.326.765.381;44608000
11/01/2017;3.960.000.000;4.000.000.000;3.950.000.000;3.960.000.000;3.293.497.559;47226300
12/01/2017;3.920.000.000;3.970.000.000;3.920.000.000;3.960.000.000;3.293.497.559;45738500
13/01/2017;3.930.000.000;3.970.000.000;3.930.000.000;3.950.000.000;3.285.180.664;64704600
16/01/2017;3.970.000.000;4.000.000.000;3.950.000.000;3.950.000.000;3.285.180.664;42188800
17/01/2017;3.980.000.000;4.000.000.000;3.960.000.000;3.970.000.000;3.301.814.697;45793400
18/01/2017;3.960.000.000;4.010.000.000;3.950.000.000;3.960.000.000;3.293.497.559;56558200
19/01/2017;3.940.000.000;3.980.000.000;3.920.000.000;3.970.000.000;3.301.814.697;53435400
20/01/2017;3.920.000.000;3.940.000.000;3.820.000.000;3.830.000.000;3.185.377.686;101523500
23/01/2017;3.800.000.000;3.880.000.000;3.780.000.000;3.840.000.000;3.193.694.824;77653500
24/01/2017;3.850.000.000;3.950.000.000;3.850.000.000;3.910.000.000;3.251.913.086;113430200
25/01/2017;3.940.000.000;3.940.000.000;3.890.000.000;3.900.000.000;3.243.595.947;47799100
26/01/2017;3.900.000.000;3.960.000.000;3.860.000.000;3.940.000.000;3.276.864.014;60944600
27/01/2017;3.900.000.000;3.920.000.000;3.880.000.000;3.890.000.000;3.235.279.541;47240400
30/01/2017;3.860.000.000;3.910.000.000;3.860.000.000;3.860.000.000;3.210.328.613;30060700
31/01/2017;3.870.000.000;3.920.000.000;3.860.000.000;3.870.000.000;3.218.645.508;57849200
